"","index","PC1","PC2","muni_i","muni_j","muni_i_name","muni_j_name"
"120",120,1.50210924759648,-0.802834225228597,"CO19022","CO19100","Almaguer","Bolívar"
"121",121,2.17643013433094,-0.759856013011644,"CO19022","CO19397","Almaguer","La Vega"
"122",122,2.10111350537243,-0.650456969281742,"CO19022","CO19693","Almaguer","San Sebastián"
"123",123,0.168264188300941,-0.0107095744055267,"CO19022","CO19785","Almaguer","Sucre"
"124",124,1.43217042607434,-1.00555191062492,"CO15022","CO15236","Almeida","Chivor"
"125",125,-1.49808445975441,-0.554793247410995,"CO15022","CO15299","Almeida","Garagoa"
"126",126,0.254433604388472,-1.1490187256132,"CO15022","CO15325","Almeida","Guayatá"
"127",127,-0.265793054081366,-0.785092639086537,"CO15022","CO15425","Almeida","Macanal"
"128",128,-0.447454581667909,-0.783652489316624,"CO15022","CO15761","Almeida","Somondoco"
"129",129,2.88682910598027,0.0651851678620813,"CO73024","CO41078","Alpujarra","Baraya"
"130",130,1.71541622667147,-0.323256259927774,"CO73024","CO41206","Alpujarra","Colombia"
"131",131,1.63912394050413,0.00204261348786583,"CO73024","CO73236","Alpujarra","Dolores"
"132",132,2.94694708641731,0.874545662376852,"CO73024","CO73483","Alpujarra","Natagaima"
"133",133,-0.855874329206094,-1.30521060169883,"CO41026","CO41298","Altamira","Garzón"
"134",134,-2.63764189376976,-1.30817336547474,"CO41026","CO41319","Altamira","Guadalupe"
"135",135,0.313621642257313,-1.09774557918811,"CO41026","CO41548","Altamira","Pital"
"136",136,-2.06645473560872,-1.68602697940279,"CO41026","CO41770","Altamira","Suaza"
"137",137,1.35685622118139,-0.650253591054759,"CO27025","CO27075","Alto Baudó","Bahía Solano"
"138",138,-0.0256953299902371,-0.382188683336074,"CO27025","CO27077","Alto Baudó","Bajo Baudó"
"139",139,-0.10644165038082,0.899060454764692,"CO27025","CO27099","Alto Baudó","Bojayá"
"140",140,0.918001406015616,-0.289740801096918,"CO27025","CO27135","Alto Baudó","El Cantón del San Pablo"
"141",141,2.19937516872011,-0.241397901176846,"CO27025","CO27430","Alto Baudó","Medio Baudó"
"142",142,-0.42657823176581,0.58961109160791,"CO27025","CO27495","Alto Baudó","Nuquí"
"143",143,1.78998200741509,0.107303935399339,"CO27025","CO27001","Alto Baudó","Quibdó"
"144",144,0.703958971879608,-0.188837442184621,"CO27025","CO27600","Alto Baudó","Río Quito"
"145",145,-1.14990759301174,0.36978002312674,"CO13030","CO13074","Altos del Rosario","Barranco de Loba"
"146",146,0.95151614171541,-0.064297112652719,"CO13030","CO13549","Altos del Rosario","Pinillos"
"147",147,-1.21241759598346,-0.872260876505762,"CO73026","CO73043","Alvarado","Anzoátegui"
"148",148,-2.72434034911549,-0.514842559492947,"CO73026","CO73001","Alvarado","Ibagué"
"149",149,-0.948658052010534,-0.811086112827602,"CO73026","CO73547","Alvarado","Piedras"
"150",150,-0.608595633262524,-1.33364015929576,"CO05030","CO05036","Amagá","Angelópolis"
"151",151,-2.84116849019994,-1.26425162787354,"CO05030","CO05129","Amagá","Caldas"
"152",152,0.173516473196777,-1.1874131375256,"CO05030","CO05282","Amagá","Fredonia"
"153",153,0.462218388664401,-1.01631138450839,"CO05031","CO05040","Amalfi","Anorí"
"154",154,-0.982779246400374,-0.0351119147954444,"CO05031","CO05310","Amalfi","Gómez Plata"
"155",155,-1.49756897415753,0.00322234966023238,"CO05031","CO05315","Amalfi","Guadalupe"
"156",156,1.29979847994538,-0.603450736394358,"CO05031","CO05604","Amalfi","Remedios"
"157",157,-1.11237709078881,0.0640091854480976,"CO05031","CO05736","Amalfi","Segovia"
"158",158,0.707439282609938,-0.968438834027229,"CO73030","CO73055","Ambalema","Armero"
"159",159,2.0088650101459,-0.925099538405435,"CO73030","CO25086","Ambalema","Beltrán"
"160",160,1.81216652760022,-0.796689604237523,"CO73030","CO73408","Ambalema","Lérida"
"161",161,1.54145969801544,-0.939718480141131,"CO73030","CO25662","Ambalema","San Juan de Rioseco"
"162",162,1.14183875265489,-0.744814921258046,"CO25035","CO25599","Anapoima","Apulo"
"163",163,1.85631152541208,-0.72496648148784,"CO25035","CO25245","Anapoima","El Colegio"
"164",164,0.0753535390142464,0.471605876781332,"CO25035","CO25368","Anapoima","Jerusalén"
"165",165,0.250236654312399,0.321997173153588,"CO25035","CO25386","Anapoima","La Mesa"
"166",166,-0.904387205226427,0.317596611071128,"CO25035","CO25596","Anapoima","Quipile"
"167",167,1.13106430228991,-0.469130658178333,"CO52036","CO52207","Ancuya","Consacá"
"168",168,-0.843859657364672,0.960971102420974,"CO52036","CO52320","Ancuya","Guaitarilla"
"169",169,1.91030273911271,0.191933859966808,"CO52036","CO52411","Ancuya","Linares"
"170",170,1.916311064451,-0.173022913825474,"CO52036","CO52678","Ancuya","Samaniego"
"171",171,1.20605757240111,-0.1980358566564,"CO52036","CO52683","Ancuya","Sandoná"
"172",172,-1.11409204326645,0.430010892055181,"CO76036","CO76113","Andalucía","Bugalagrande"
"173",173,0.8304349338353,-0.947519031286115,"CO76036","CO76616","Andalucía","Riofrío"
"174",174,1.19514727730822,-0.849861727629077,"CO05034","CO27073","Andes","Bagadó"
"175",175,2.1182342815732,-0.904758638461103,"CO05034","CO05091","Andes","Betania"
"176",176,1.27385707117447,-0.492294664947672,"CO05034","CO05353","Andes","Hispania"
"177",177,1.06851586205755,-0.473405394360652,"CO05034","CO05364","Andes","Jardín"
"178",178,3.76484221309542,-0.568802963240837,"CO05034","CO05368","Andes","Jericó"
"179",179,1.49814065407179,-0.84327815367185,"CO05034","CO66456","Andes","Mistrató"
"180",180,1.97304664981639,-0.894968339795925,"CO05034","CO05576","Andes","Pueblorrico"
"181",181,-1.33826264754283,1.14369757524188,"CO05036","CO05059","Angelópolis","Armenia"
"182",182,-1.65069660778611,1.11667735250848,"CO05036","CO05129","Angelópolis","Caldas"
"183",183,0.0524131070805131,-0.609575151831339,"CO05036","CO05347","Angelópolis","Heliconia"
"184",184,0.842274767209649,-0.531033662728347,"CO05036","CO05380","Angelópolis","La Estrella"
"185",185,0.910057166138841,-0.0893381727648486,"CO05036","CO05001","Angelópolis","Medellín"
"186",186,0.383282410876098,-0.0450799009710164,"CO05038","CO05134","Angostura","Campamento"
"187",187,2.10993488578215,-0.338255352908394,"CO05038","CO05150","Angostura","Carolina"
"188",188,-0.780183299583995,0.232546182039802,"CO05038","CO05315","Angostura","Guadalupe"
"189",189,0.576339404650397,-0.543426354771841,"CO05038","CO05686","Angostura","Santa Rosa de Osos"
"190",190,0.583446559725852,-1.14439659337988,"CO25040","CO25095","Anolaima","Bituima"
"191",191,-2.08345495315416,-1.19312133918727,"CO25040","CO25123","Anolaima","Cachipay"
"192",192,-0.377793370797819,-0.765645044914864,"CO25040","CO25269","Anolaima","Facatativá"
"193",193,-0.261012393458344,-1.2514177825458,"CO25040","CO25328","Anolaima","Guayabal de Síquima"
"194",194,-1.26068559162455,-1.5320041520505,"CO25040","CO25596","Anolaima","Quipile"
"195",195,-1.73628766225718,1.08902015256934,"CO05040","CO05120","Anorí","Cáceres"
"196",196,-0.790035606392192,0.920080972989283,"CO05040","CO05134","Anorí","Campamento"
"197",197,-1.95545634177902,1.14937789551449,"CO05040","CO05315","Anorí","Guadalupe"
"198",198,-0.414516006958056,1.14601902257959,"CO17042","CO66088","Anserma","Belén de Umbría"
"199",199,0.115504161262344,0.249530123117011,"CO17042","CO66318","Anserma","Guática"
"200",200,1.47739118633099,0.0654209167478015,"CO17042","CO17001","Anserma","Manizales"
"201",201,-0.921654840452003,0.271094102570139,"CO17042","CO17486","Anserma","Neira"
"202",202,-1.19481621929263,0.330080890524809,"CO17042","CO17524","Anserma","Palestina"
"203",203,1.14805360151106,0.156462907665494,"CO17042","CO66594","Anserma","Quinchía"
"204",204,1.01269693267817,-1.08543013106755,"CO17042","CO17616","Anserma","Risaralda"
"205",205,0.462172061077918,0.501992932801526,"CO76041","CO76054","Ansermanuevo","Argelia"
"206",206,1.21000483287277,-0.980998675964663,"CO76041","CO66075","Ansermanuevo","Balboa"
